Date,Open,High,Low,Close,Adj Close,Volume
,,,,,,9312800
,,,,,,5992000
,,,,,,5846400
,,,,,,9391200
,,,,,,5107200
,,,,,,34288800
,,,,,,14823200
,,,,,,12656000
,,,,,,8568000
,,,,,,9352000
,,,,,,19023200
,,,,,,6311200
,,,,,,7828800
,,,,,,16363200
,,,,,,12863200
,,,,,,17931200
,,,,,,14100800
,,,,,,13456800
,,,,,,7224000
,,,,,,7229600
,,,,,,9144800
,,,,,,6059200
,,,,,,8047200
,,,,,,13664000
,,,,,,17813600
,,,,,,8960000
,,,,,,16520000
,,,,,,17511200
,,,,,,14151200
,,,,,,8332800
,,,,,,14980000
,,,,,,10438400
,,,,,,6428800
,,,,,,11676000
,,,,,,7000000
,,,,,,13876800
,,,,,,6456800
,,,,,,8332800
,,,,,,6064800
,,,,,,11177600
,,,,,,5303200
,,,,,,7840000
,,,,,,9900800
,,,,,,13288800
,,,,,,9632000
,,,,,,13568800
,,,,,,7868000
,,,,,,5510400
,,,,,,10074400
,,,,,,7924000
,,,,,,14476000
,,,,,,9699200
,,,,,,6132000
,,,,,,4911200
,,,,,,8579200
,,,,,,6395200
,,,,,,7095200
,,,,,,3399200
,,,,,,6658400
,,,,,,8635200
,,,,,,9486400
,,,,,,7700000
,,,,,,4356800
,,,,,,8825600
,,,,,,8702400
,,,,,,5913600
,,,,,,9592800
,,,,,,11328800
,,,,,,8786400
,,,,,,13126400
,,,,,,21733600
,,,,,,5644800
,,,,,,11636800
,,,,,,12840800
,,,,,,11788000
,,,,,,12622400
,,,,,,14084000
,,,,,,16452800
,,,,,,17298400
,,,,,,13988800
,,,,,,12902400
,,,,,,21028000
,,,,,,12695200
,,,,,,16900800
,,,,,,19488000
,,,,,,12538400
,,,,,,14784000
,,,,,,21201600
,,,,,,21660800
,,,,,,17897600
,,,,,,7274400
,,,,,,5997600
,,,,,,11076800
,,,,,,21324800
,,,,,,28397600
,,,,,,41070400
,,,,,,26012000
,,,,,,10320800
,,,,,,20137600
,,,,,,18256000
,,,,,,13148800
,,,,,,12073600
,,,,,,14481600
,,,,,,17567200
,,,,,,24808000
,,,,,,20557600
,,,,,,69350400
,,,,,,20675200
,,,,,,18496800
,,,,,,13484800
,,,,,,18866400
,,,,,,21179200
,,,,,,7901600
,,,,,,25754400
,,,,,,17752000
,,,,,,13613600
,,,,,,23934400
,,,,,,19051200
,,,,,,30508800
,,,,,,18821600
,,,,,,6904800
,,,,,,9710400
,,,,,,7996800
,,,,,,12891200
,,,,,,10819200
,,,,,,7812000
,,,,,,4799200
,,,,,,11900000
,,,,,,8226400
,,,,,,9940000
,,,,,,9419200
,,,,,,9290400
